Channel_name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,30,61
Partner Integration - Organic,10.7%,17.0%,21.6%,26.0%,32.1%,39.5%,41.9%,44.3%,46.1%,47.9%,49.4%,50.7%,52.0%,53.4%,54.7%,70.4%,100.0%
Affiliate,34.0%,38.6%,41.8%,44.4%,46.9%,48.9%,50.0%,52.1%,53.9%,55.7%,58.1%,59.7%,61.0%,62.1%,63.3%,79.7%,100.0%
Display,2.8%,4.7%,6.8%,9.0%,11.5%,13.9%,15.8%,18.3%,21.2%,25.7%,31.1%,36.0%,38.4%,40.3%,41.9%,65.7%,100.0%
Unassigned,12.2%,26.4%,33.0%,39.9%,44.9%,47.8%,49.5%,52.0%,54.5%,58.0%,59.9%,60.8%,61.9%,63.0%,63.9%,76.0%,100.0%
epn,0.9%,2.3%,10.3%,15.7%,20.4%,24.5%,28.5%,31.7%,34.5%,37.0%,39.5%,41.8%,44.0%,46.2%,48.0%,71.6%,100.0%
Paid Social,4.0%,7.6%,10.7%,13.5%,16.0%,18.4%,20.1%,22.4%,24.2%,26.1%,27.9%,29.8%,31.5%,33.3%,34.6%,58.6%,100.0%
Social Media,8.2%,12.6%,16.2%,19.4%,22.3%,25.0%,26.9%,29.2%,31.3%,33.4%,35.3%,37.2%,39.1%,40.8%,42.5%,65.7%,100.0%
marketing_emails,8.3%,15.3%,20.6%,25.0%,29.1%,32.4%,36.2%,39.2%,41.8%,44.0%,46.3%,48.7%,50.7%,52.8%,54.5%,75.3%,100.0%
Partner Integration,35.7%,41.2%,44.7%,47.5%,50.0%,52.1%,53.2%,55.0%,56.4%,57.8%,59.1%,60.3%,61.4%,62.6%,63.7%,77.8%,100.0%
Paid Search,14.4%,19.3%,23.3%,27.0%,30.3%,33.4%,35.5%,38.0%,40.4%,42.6%,44.8%,46.9%,48.8%,50.8%,52.5%,72.9%,100.0%
site_emails,17.1%,27.5%,34.6%,40.1%,44.5%,48.3%,50.9%,53.1%,55.4%,57.8%,60.0%,62.0%,63.9%,65.3%,66.6%,84.0%,100.0%
Natural Search,25.9%,34.3%,40.2%,44.9%,48.7%,51.9%,54.2%,56.8%,59.1%,61.2%,63.1%,64.9%,66.6%,68.2%,69.7%,85.3%,100.0%